,pval,Region,Stain,test,comparison,test.stat,effect_size,FDR_adjusted_pval,Region_Stain,Age.Harvested
V14,9.57E-05,fiber.tracts,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,fiber.tracts_NeuN,14
V15,0.016042062,Fundus.of.striatum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,170,0.380731462,0.033420962,Fundus.of.striatum_NeuN,14
V16,0.070197451,Geniculate.group..dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,154,0.286286448,0.116290959,Geniculate.group..dorsal.thalamus_NeuN,14
V17,0.001413191,Geniculate.group..ventral.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,191,0.504690542,0.004626518,Geniculate.group..ventral.thalamus_NeuN,14
V18,0.000418811,Hippo,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,200,0.557815863,0.002094057,Hippo_NeuN,14
V19,0.000481929,Hippocampal.formation,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,11,0.551913049,0.00213969,Hippocampal.formation_NeuN,14
V20,0.000203525,Hypothalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,205,0.587329929,0.001301613,Hypothalamus_NeuN,14
V21,0.672628788,Induseum.griseum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,84,0.0668099,0.767522476,Induseum.griseum_NeuN,14
V22,0.001825294,Intralaminar.nuclei.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,189,0.492884916,0.005769608,Intralaminar.nuclei.of.the.dorsal.thalamus_NeuN,14
V23,0.513548894,Isocortex,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,87,0.103299234,0.630472972,Isocortex_NeuN,14
V24,0.000129926,Lateral.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,208,0.60503837,0.0010654,Lateral.amygdalar.nucleus_NeuN,14
V25,0.002345341,Lateral.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,23,0.481079289,0.007010529,Lateral.group.of.the.dorsal.thalamus_NeuN,14
V26,0.002653365,Lateral.septal.complex,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,186,0.475176476,0.007522428,Lateral.septal.complex_NeuN,14
V27,0.513548894,Medial.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,123,0.103299234,0.630472972,Medial.group.of.the.dorsal.thalamus_NeuN,14
V28,0.000151093,Mid_Hind_Medulla,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Mid_Hind_Medulla_NeuN,14
V29,0.000833949,Midbrain,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,195,0.528301796,0.003230084,Midbrain_NeuN,14
V30,0.000235745,Midbrain..behavioral.state.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,204,0.581427116,0.001409347,Midbrain..behavioral.state.related_NeuN,14
V31,0.008489555,Midbrain..motor.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,176,0.416148342,0.019784981,Midbrain..motor.related_NeuN,14
V32,0.000953358,Midbrain..sensory.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,194,0.522398982,0.003542885,Midbrain..sensory.related_NeuN,14
V33,0.150630559,Midline.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.227258314,0.228858584,Midline.group.of.the.dorsal.thalamus_NeuN,14
V34,0.287337268,Nucleus.accumbens,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,134,0.168230181,0.393123128,Nucleus.accumbens_NeuN,14
V35,0.000111577,Olfactory.areas,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.610941183,0.0010654,Olfactory.areas_NeuN,14
V36,0.021678215,Olfactory.tubercle,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.363023022,0.042888555,Olfactory.tubercle_NeuN,14
V37,0.002070387,Pallidum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,22,0.486982102,0.006286522,Pallidum_NeuN,14
V38,0.034625208,Parasubiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,42,0.334049501,0.063479547,Parasubiculum_NeuN,14
V39,9.57E-05,Pons,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,210,0.616843996,0.0010654,Pons_NeuN,14
V40,0.002653365,Pons..behavioral.state.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,186,0.475176476,0.007522428,Pons..behavioral.state.related_NeuN,14
V41,9.57E-05,Pons..motor.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,210,0.616843996,0.0010654,Pons..motor.related_NeuN,14
V42,0.856297076,Pons..sensory.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,90,0.028632814,0.90222872,Pons..sensory.related_NeuN,14
V43,0.270760127,Posterior.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,135,0.174132994,0.379893035,Posterior.amygdalar.nucleus_NeuN,14
V44,0.002997958,Postsubiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,185,0.469273662,0.008244384,Postsubiculum_NeuN,14
V45,0.588284481,Presubiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,120,0.085590794,0.700338668,Presubiculum_NeuN,14
V46,9.57E-05,Reticular.nucleus.of.the.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,210,0.616843996,0.0010654,Reticular.nucleus.of.the.thalamus_NeuN,14
V47,0.000111577,Striatum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.610941183,0.0010654,Striatum_NeuN,14
V48,0.000418811,Striatum.like.amygdalar.nuclei,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,10,0.557815863,0.002094057,Striatum.like.amygdalar.nuclei_NeuN,14
V49,0.082569292,Striatum_Pallidum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,58,0.274480821,0.133567972,Striatum_Pallidum_NeuN,14
V50,0.695063363,Subiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,94,0.06197954,0.777001727,Subiculum_NeuN,14
V51,0.000129926,Subparafascicular.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,208,0.60503837,0.0010654,Subparafascicular.nucleus_NeuN,14
V52,0.000111577,Thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,209,0.610941183,0.0010654,Thalamus_NeuN,14
V53,0.000151093,Ventral.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Ventral.group.of.the.dorsal.thalamus_NeuN,14
V54,9.57E-05,ventricular.systems,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,ventricular.systems_NeuN,14
V55,0.082569292,Ammon.s.horn,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,152,0.274480821,0.133567972,Ammon.s.horn_GFAP,14
V56,0.000953358,Anterior.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,16,0.522398982,0.003542885,Anterior.group.of.the.dorsal.thalamus_GFAP,14
V57,0.000728542,Basolateral.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,196,0.534204609,0.002946309,Basolateral.amygdalar.nucleus_GFAP,14
V58,0.002997958,Basomedial.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,25,0.469273662,0.008244384,Basomedial.amygdalar.nucleus_GFAP,14
V59,0.000315047,Caudoputamen,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,8,0.569621489,0.001804957,Caudoputamen_GFAP,14
V60,0.002070387,Claustrum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,188,0.486982102,0.006286522,Claustrum_GFAP,14
V61,0.985107284,Cortex,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,104,0.002951407,0.992324188,Cortex_GFAP,14
V62,0.096652447,Cortical.subplate,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,60,0.262675195,0.154531529,Cortical.subplate_GFAP,14
V63,0.000129926,Dentate.gyrus..granule.cell.layer,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,2,0.60503837,0.0010654,Dentate.gyrus..granule.cell.layer_GFAP,14
V64,0.341105565,Dentate.gyrus..molecular.layer,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,131,0.150521741,0.461874003,Dentate.gyrus..molecular.layer_GFAP,14
V65,0.000111577,Dentate.gyrus..polymorph.layer,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,209,0.610941183,0.0010654,Dentate.gyrus..polymorph.layer_GFAP,14
V66,0.360375188,Endopiriform.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,80,0.144618927,0.478759307,Endopiriform.nucleus_GFAP,14
V67,0.779481324,Entorhinal.area,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,113,0.0442711,0.84392663,Entorhinal.area_GFAP,14
V68,0.002653365,Epithalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,186,0.475176476,0.007522428,Epithalamus_GFAP,14
V69,0.000953358,fiber.tracts,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,194,0.522398982,0.003542885,fiber.tracts_GFAP,14
V70,0.506692871,Fundus.of.striatum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,78,0.104986986,0.630472972,Fundus.of.striatum_GFAP,14
V71,0.562821054,Geniculate.group..dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,121,0.091493607,0.672938217,Geniculate.group..dorsal.thalamus_GFAP,14
V72,0.344306075,Geniculate.group..ventral.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,71,0.149526919,0.461874003,Geniculate.group..ventral.thalamus_GFAP,14
V73,0.038268876,Hippo,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,161,0.327606142,0.068783928,Hippo_GFAP,14
V74,0.400916759,Hippocampal.formation,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,82,0.132813301,0.522521843,Hippocampal.formation_GFAP,14
V75,0.011736977,Hypothalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,37,0.398439902,0.02582135,Hypothalamus_GFAP,14
V76,0.080026056,Induseum.griseum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,139,0.276783872,0.130995032,Induseum.griseum_GFAP,14
V77,0.003382922,Intralaminar.nuclei.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,184,0.463370849,0.008945227,Intralaminar.nuclei.of.the.dorsal.thalamus_GFAP,14
V78,0.866585629,Isocortex,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,100,0.02656266,0.909584152,Isocortex_GFAP,14
V79,0.001088441,Lateral.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,17,0.516496169,0.003938436,Lateral.amygdalar.nucleus_GFAP,14
V80,0.837314554,Lateral.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,99,0.032465473,0.885621163,Lateral.group.of.the.dorsal.thalamus_GFAP,14
V81,0.197753934,Lateral.septal.complex,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,140,0.203647061,0.28472425,Lateral.septal.complex_GFAP,14
V82,0.640744318,Medial.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,92,0.073785167,0.743479694,Medial.group.of.the.dorsal.thalamus_GFAP,14
V83,0.000315047,Mid_Hind_Medulla,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,202,0.569621489,0.001804957,Mid_Hind_Medulla_GFAP,14
V84,0.10438197,Midbrain,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,149,0.256772381,0.165925097,Midbrain_GFAP,14
V85,0.054526221,Midbrain..behavioral.state.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,157,0.303994888,0.095507712,Midbrain..behavioral.state.related_GFAP,14
V86,0.002070387,Midbrain..motor.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,188,0.486982102,0.006286522,Midbrain..motor.related_GFAP,14
V87,0.010549188,Midbrain..sensory.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,36,0.404342715,0.023778907,Midbrain..sensory.related_GFAP,14
V88,0.025519871,Midline.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,39,0.353138043,0.048399755,Midline.group.of.the.dorsal.thalamus_GFAP,14
V89,0.779481324,Nucleus.accumbens,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,113,0.0442711,0.84392663,Nucleus.accumbens_GFAP,14
V90,0.064607096,Olfactory.areas,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,55,0.292189261,0.109672539,Olfactory.areas_GFAP,14
V91,0.513548894,Olfactory.tubercle,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,87,0.103299234,0.630472972,Olfactory.tubercle_GFAP,14
V92,0.011736977,Pallidum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,173,0.398439902,0.02582135,Pallidum_GFAP,14
V93,0.887068694,Parasubiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,73,0.022454436,0.927543311,Parasubiculum_GFAP,14
V94,0.00055383,Pons,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,198,0.546010236,0.002307627,Pons_GFAP,14
V95,0.061114619,Pons..behavioral.state.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,129,0.296094381,0.105040751,Pons..behavioral.state.related_GFAP,14
V96,0.000168126,Pons..motor.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,189,0.594926253,0.001155869,Pons..motor.related_GFAP,14
V97,0.024491416,Pons..sensory.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,24,0.35565053,0.047098877,Pons..sensory.related_GFAP,14
V98,0.021678215,Posterior.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.363023022,0.042888555,Posterior.amygdalar.nucleus_GFAP,14
V99,0.089387701,Postsubiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,151,0.268578008,0.14375215,Postsubiculum_GFAP,14
V100,0.059389371,Presubiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,156,0.298092075,0.102717465,Presubiculum_GFAP,14
V101,0.92564007,Reticular.nucleus.of.the.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,108,0.014757033,0.953374604,Reticular.nucleus.of.the.thalamus_GFAP,14
V102,0.9553426,Striatum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,103,0.00885422,0.969443598,Striatum_GFAP,14
V103,0.000111577,Striatum.like.amygdalar.nuclei,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.610941183,0.0010654,Striatum.like.amygdalar.nuclei_GFAP,14
V104,0.001241041,Striatum_Pallidum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,18,0.510593356,0.004266078,Striatum_Pallidum_GFAP,14
V105,0.44408118,Subiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,126,0.121007674,0.568010811,Subiculum_GFAP,14
V106,0.537901747,Subparafascicular.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,88,0.09739642,0.648785002,Subparafascicular.nucleus_GFAP,14
V107,0.150630559,Thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,66,0.227258314,0.228858584,Thalamus_GFAP,14
V108,0.016042062,Ventral.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,40,0.380731462,0.033420962,Ventral.group.of.the.dorsal.thalamus_GFAP,14
V109,9.57E-05,ventricular.systems,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,ventricular.systems_GFAP,14
V110,0.000203525,Ammon.s.horn,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,205,0.587329929,0.001301613,Ammon.s.horn_Iba1,14
V111,0.140309234,Anterior.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.233161128,0.216769883,Anterior.group.of.the.dorsal.thalamus_Iba1,14
V112,0.028965101,Basolateral.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,164,0.345314582,0.054186414,Basolateral.amygdalar.nucleus_Iba1,14
V113,0.070197451,Basomedial.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,56,0.286286448,0.116290959,Basomedial.amygdalar.nucleus_Iba1,14
V114,0.000129926,Caudoputamen,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,208,0.60503837,0.0010654,Caudoputamen_Iba1,14
V115,0.130540701,Claustrum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,146,0.239063941,0.20512168,Claustrum_Iba1,14
V116,0.513548894,Cortex,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,123,0.103299234,0.630472972,Cortex_Iba1,14
V117,0.985107284,Cortical.subplate,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,104,0.002951407,0.992324188,Cortical.subplate_Iba1,14
V118,0.000418811,Dentate.gyrus..granule.cell.layer,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,10,0.557815863,0.002094057,Dentate.gyrus..granule.cell.layer_Iba1,14
V119,0.000481929,Dentate.gyrus..molecular.layer,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,199,0.551913049,0.00213969,Dentate.gyrus..molecular.layer_Iba1,14
V120,9.57E-05,Dentate.gyrus..polymorph.layer,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,210,0.616843996,0.0010654,Dentate.gyrus..polymorph.layer_Iba1,14
V121,0.172995226,Endopiriform.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,68,0.215452688,0.255772511,Endopiriform.nucleus_Iba1,14
V122,0.023906627,Entorhinal.area,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,166,0.357120208,0.0466264,Entorhinal.area_Iba1,14
V123,0.011736977,Epithalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,173,0.398439902,0.02582135,Epithalamus_Iba1,14
V124,0.003382922,fiber.tracts,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,26,0.463370849,0.008945227,fiber.tracts_Iba1,14
V125,0.640744318,Fundus.of.striatum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,92,0.073785167,0.743479694,Fundus.of.striatum_Iba1,14
V126,0.9553426,Geniculate.group..dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,103,0.00885422,0.969443598,Geniculate.group..dorsal.thalamus_Iba1,14
V127,0.041888066,Geniculate.group..ventral.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,160,0.321703328,0.074317537,Geniculate.group..ventral.thalamus_Iba1,14
V128,0.000833949,Hippo,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,195,0.528301796,0.003230084,Hippo_Iba1,14
V129,0.750994967,Hippocampal.formation,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,96,0.050173914,0.826094464,Hippocampal.formation_Iba1,14
V130,0.000833949,Hypothalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,195,0.528301796,0.003230084,Hypothalamus_Iba1,14
V131,0.013832595,Induseum.griseum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,129,0.389210218,0.029488089,Induseum.griseum_Iba1,14
V132,0.695063363,Intralaminar.nuclei.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,116,0.06197954,0.777001727,Intralaminar.nuclei.of.the.dorsal.thalamus_Iba1,14
V133,0.695063363,Isocortex,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,116,0.06197954,0.777001727,Isocortex_Iba1,14
V134,0.07617871,Lateral.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,57,0.280383635,0.125443983,Lateral.amygdalar.nucleus_Iba1,14
V135,0.667686216,Lateral.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,117,0.067882354,0.765057122,Lateral.group.of.the.dorsal.thalamus_Iba1,14
V136,0.150630559,Lateral.septal.complex,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.227258314,0.228858584,Lateral.septal.complex_Iba1,14
V137,0.014473577,Medial.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,171,0.386634275,0.030617181,Medial.group.of.the.dorsal.thalamus_Iba1,14
V138,0.000481929,Mid_Hind_Medulla,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,199,0.551913049,0.00213969,Mid_Hind_Medulla_Iba1,14
V139,0.005414437,Midbrain,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,180,0.439759595,0.013536092,Midbrain_Iba1,14
V140,0.140309234,Midbrain..behavioral.state.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.233161128,0.216769883,Midbrain..behavioral.state.related_Iba1,14
V141,0.006797231,Midbrain..motor.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,178,0.427953969,0.016689629,Midbrain..motor.related_Iba1,14
V142,0.054526221,Midbrain..sensory.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,157,0.303994888,0.095507712,Midbrain..sensory.related_Iba1,14
V143,0.667686216,Midline.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,93,0.067882354,0.765057122,Midline.group.of.the.dorsal.thalamus_Iba1,14
V144,0.9553426,Nucleus.accumbens,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,103,0.00885422,0.969443598,Nucleus.accumbens_Iba1,14
V145,0.172995226,Olfactory.areas,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,68,0.215452688,0.255772511,Olfactory.areas_Iba1,14
V146,0.064607096,Olfactory.tubercle,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,55,0.292189261,0.109672539,Olfactory.tubercle_Iba1,14
V147,0.001241041,Pallidum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,192,0.510593356,0.004266078,Pallidum_Iba1,14
V148,0.393551348,Parasubiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,51,0.134901925,0.517830722,Parasubiculum_Iba1,14
V149,0.000481929,Pons,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,199,0.551913049,0.00213969,Pons_Iba1,14
V150,0.024491416,Pons..behavioral.state.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,112,0.35565053,0.047098877,Pons..behavioral.state.related_Iba1,14
V151,0.000499641,Pons..motor.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,182,0.55038632,0.002180973,Pons..motor.related_Iba1,14
V152,0.013487379,Pons..sensory.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,16,0.390641532,0.02897679,Pons..sensory.related_Iba1,14
V153,0.225010647,Posterior.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.191841434,0.320611026,Posterior.amygdalar.nucleus_Iba1,14
